Department,Year/Term,Metric,Value
CLAS,2021-2022,Avg_Class_Size,22.6
AAS,2021-2022,Avg_Class_Size,21.4
ART,2021-2022,Avg_Class_Size,16.4
BIO,2021-2022,Avg_Class_Size,29.0
CHEM,2021-2022,Avg_Class_Size,24.9
CHS,2021-2022,Avg_Class_Size,25.3
COMM,2021-2022,Avg_Class_Size,24.7
EAS,2021-2022,Avg_Class_Size,25.6
ENG,2021-2022,Avg_Class_Size,20.8
GWS,2021-2022,Avg_Class_Size,21.6
HIS,2021-2022,Avg_Class_Size,24.1
JMP,2021-2022,Avg_Class_Size,16.7
LANG,2021-2022,Avg_Class_Size,16.2
MUS,2021-2022,Avg_Class_Size,13.4
PHI,2021-2022,Avg_Class_Size,21.3
PHY,2021-2022,Avg_Class_Size,18.9
PSC,2021-2022,Avg_Class_Size,23.4
PSYC,2021-2022,Avg_Class_Size,33.6
SOAN,2021-2022,Avg_Class_Size,22.7
THAD,2021-2022,Avg_Class_Size,12.9
CLAS,2022-2023,Avg_Class_Size,21.7
AAS,2022-2023,Avg_Class_Size,21.4
ART,2022-2023,Avg_Class_Size,14.6
BIO,2022-2023,Avg_Class_Size,27.4
CHEM,2022-2023,Avg_Class_Size,22.6
CHS,2022-2023,Avg_Class_Size,27.0
COMM,2022-2023,Avg_Class_Size,22.8
EAS,2022-2023,Avg_Class_Size,23.0
ENG,2022-2023,Avg_Class_Size,18.8
GWS,2022-2023,Avg_Class_Size,26.8
HIS,2022-2023,Avg_Class_Size,24.6
JMP,2022-2023,Avg_Class_Size,19.0
LANG,2022-2023,Avg_Class_Size,15.6
MUS,2022-2023,Avg_Class_Size,14.4
PHI,2022-2023,Avg_Class_Size,21.4
PHY,2022-2023,Avg_Class_Size,21.9
PSC,2022-2023,Avg_Class_Size,23.2
PSYC,2022-2023,Avg_Class_Size,35.7
SOAN,2022-2023,Avg_Class_Size,20.9
THAD,2022-2023,Avg_Class_Size,11.6
CLAS,2023-2024,Avg_Class_Size,22.6
AAS,2023-2024,Avg_Class_Size,21.6
ART,2023-2024,Avg_Class_Size,16.1
BIO,2023-2024,Avg_Class_Size,23.1
CHEM,2023-2024,Avg_Class_Size,21.4
CHS,2023-2024,Avg_Class_Size,23.0
COMM,2023-2024,Avg_Class_Size,25.5
EAS,2023-2024,Avg_Class_Size,24.1
ENG,2023-2024,Avg_Class_Size,20.3
GWS,2023-2024,Avg_Class_Size,22.2
HIS,2023-2024,Avg_Class_Size,25.5
JMP,2023-2024,Avg_Class_Size,19.1
LANG,2023-2024,Avg_Class_Size,14.0
MUS,2023-2024,Avg_Class_Size,17.0
PHI,2023-2024,Avg_Class_Size,22.5
PHY,2023-2024,Avg_Class_Size,19.5
PSC,2023-2024,Avg_Class_Size,22.5
PSYC,2023-2024,Avg_Class_Size,36.2
SOAN,2023-2024,Avg_Class_Size,22.6
THAD,2023-2024,Avg_Class_Size,11.9
AAS,2024-2025,Avg_Class_Size,24.2
ART,2024-2025,Avg_Class_Size,15.8
BIO,2024-2025,Avg_Class_Size,26.9
CHEM,2024-2025,Avg_Class_Size,24.0
CHS,2024-2025,Avg_Class_Size,20.9
COMM,2024-2025,Avg_Class_Size,25.5
EAS,2024-2025,Avg_Class_Size,23.6
ENG,2024-2025,Avg_Class_Size,20.6
GWS,2024-2025,Avg_Class_Size,21.4
HIS,2024-2025,Avg_Class_Size,24.8
JMP,2024-2025,Avg_Class_Size,19.0
LANG,2024-2025,Avg_Class_Size,15.5
MUS,2024-2025,Avg_Class_Size,16.0
PHI,2024-2025,Avg_Class_Size,22.0
PHY,2024-2025,Avg_Class_Size,19.8
PSC,2024-2025,Avg_Class_Size,23.9
PSYC,2024-2025,Avg_Class_Size,35.6
SOAN,2024-2025,Avg_Class_Size,23.3
THAD,2024-2025,Avg_Class_Size,13.3
CLAS,2024-2025,Avg_Class_Size,22.6
AAS,Fall 2021,CHP,762
ART,Fall 2021,CHP,4234
BIO,Fall 2021,CHP,8948
CHEM,Fall 2021,CHP,4737
CHS,Fall 2021,CHP,1014
COMM,Fall 2021,CHP,8894
EAS,Fall 2021,CHP,5483
ENG,Fall 2021,CHP,10810
GWS,Fall 2021,CHP,1643
HIS,Fall 2021,CHP,6658
JMP,Fall 2021,CHP,3066
LANG,Fall 2021,CHP,3959
MUS,Fall 2021,CHP,2804
PHI,Fall 2021,CHP,3861
PHY,Fall 2021,CHP,1479
PSC,Fall 2021,CHP,2235
PSYC,Fall 2021,CHP,11785
SOAN,Fall 2021,CHP,4080
THAD,Fall 2021,CHP,1183
AAS,Fall 2022,CHP,711
ART,Fall 2022,CHP,3853
BIO,Fall 2022,CHP,8100
CHEM,Fall 2022,CHP,3921
CHS,Fall 2022,CHP,1134
COMM,Fall 2022,CHP,8146
EAS,Fall 2022,CHP,5161
ENG,Fall 2022,CHP,9922
GWS,Fall 2022,CHP,2047
HIS,Fall 2022,CHP,6882
JMP,Fall 2022,CHP,2559
LANG,Fall 2022,CHP,3936
MUS,Fall 2022,CHP,2991
PHI,Fall 2022,CHP,3927
PHY,Fall 2022,CHP,2055
PSC,Fall 2022,CHP,2011
PSYC,Fall 2022,CHP,11157
SOAN,Fall 2022,CHP,3858
THAD,Fall 2022,CHP,1421
AAS,Fall 2023,CHP,786
ART,Fall 2023,CHP,3856
BIO,Fall 2023,CHP,7572
CHEM,Fall 2023,CHP,3296
CHS,Fall 2023,CHP,1341
COMM,Fall 2023,CHP,8063
EAS,Fall 2023,CHP,4705
ENG,Fall 2023,CHP,9317
GWS,Fall 2023,CHP,1934
HIS,Fall 2023,CHP,6882
JMP,Fall 2023,CHP,3041
LANG,Fall 2023,CHP,4051
MUS,Fall 2023,CHP,3022
PHI,Fall 2023,CHP,4365
PHY,Fall 2023,CHP,1833
PSC,Fall 2023,CHP,2199
PSYC,Fall 2023,CHP,11612
SOAN,Fall 2023,CHP,4093
THAD,Fall 2023,CHP,1421
AAS,Fall 2024,CHP,732
ART,Fall 2024,CHP,3696
BIO,Fall 2024,CHP,7265
CHEM,Fall 2024,CHP,3441
CHS,Fall 2024,CHP,1089
COMM,Fall 2024,CHP,7901
EAS,Fall 2024,CHP,4980
ENG,Fall 2024,CHP,10023
GWS,Fall 2024,CHP,1690
HIS,Fall 2024,CHP,7042
JMP,Fall 2024,CHP,2865
LANG,Fall 2024,CHP,3627
MUS,Fall 2024,CHP,2811
PHI,Fall 2024,CHP,5046
PHY,Fall 2024,CHP,1899
PSC,Fall 2024,CHP,2115
PSYC,Fall 2024,CHP,11863
SOAN,Fall 2024,CHP,3699
THAD,Fall 2024,CHP,1206
AAS,Fall 2025,CHP,669
ART,Fall 2025,CHP,3824
BIO,Fall 2025,CHP,7891
CHEM,Fall 2025,CHP,3249
CHS,Fall 2025,CHP,1302
COMM,Fall 2025,CHP,8407
